,Movie,Year,Duration,Rating,Metascore,Votes,Gross Total (Millions)
109,Casino Royale,2006,144,8,80,582415,167.45
110,Star Trek,2009,127,7.9,82,577433,257.73
111,Dark Waters,2019,126,7.6,73,60642,
112,Mission: Impossible - Fallout,2018,147,7.7,86,291430,220.16
113,Wind River,2017,107,7.7,73,205719,33.8
114,Captain America: Civil War,2016,147,7.8,75,664094,408.08
115,The Revenant,2015,156,8,76,706023,183.64
116,The Truman Show,1998,103,8.1,90,940301,125.62
117,Isle of Dogs,2018,101,7.9,82,139260,32.02
118,Avatar,2009,162,7.8,83,1119344,760.51
119,Dallas Buyers Club,2013,117,8,80,441857,27.3
120,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,375729,190.24
121,Dunkirk,2017,106,7.8,94,555474,188.37
122,Bohemian Rhapsody,2018,134,8,49,450698,216.43
123,Zodiac,2007,157,7.7,78,466499,33.08
124,The Social Network,2010,120,7.7,95,625349,96.96
125,The Hateful Eight,2015,168,7.8,68,517471,54.12
126,There Will Be Blood,2007,158,8.2,93,517720,40.22
127,Good Will Hunting,1997,126,8.3,70,862130,138.43
128,The Godfather: Part II,1974,202,9,90,1130654,57.3
129,Moana,2016,107,7.6,81,273005,248.76
130,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,950949,309.13
131,Stardust,2007,127,7.6,66,255106,38.63
132,Kingsman: The Secret Service,2014,129,7.7,60,590642,128.26
133,Citizen Kane,1941,119,8.3,100,403621,1.59
134,Dead Poets Society,1989,128,8.1,79,425812,95.86
135,Batman Begins,2005,140,8.2,70,1308905,206.85
136,Boogie Nights,1997,155,7.9,85,239603,26.4
137,"O Brother, Where Art Thou?",2000,107,7.7,69,286957,45.51
138,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,1159925,290.48
139,Nightcrawler,2014,117,7.9,76,466492,32.38
140,Mulholland Drive,2001,147,7.9,85,322243,7.22
141,Spirited Away,2001,125,8.6,96,651926,10.06
142,Captain America: The Winter Soldier,2014,136,7.7,70,736590,259.77
143,Fargo,1996,98,8.1,85,617773,24.61
144,The Big Lebowski,1998,117,8.1,71,732967,17.5
145,Watchmen,2009,162,7.6,56,500960,107.51
146,A Clockwork Orange,1971,136,8.3,77,758297,6.21
147,Kill Bill: Vol. 1,2003,111,8.1,69,1001147,70.1
148,Once Upon a Time in America,1984,229,8.4,,311574,5.32
