,Movie,Year,Duration,Rating,Metascore,Votes,Gross Total (Millions)
488,Changeling,2008,141,7.7,63,239288,35.74
489,Being John Malkovich,1999,113,7.7,90,312635,22.86
490,Adaptation.,2002,115,7.7,83,178642,22.25
491,The Sting,1973,129,8.3,83,241633,159.6
492,Metropolis,1927,153,8.3,98,160099,1.24
493,Ponyo,2008,101,7.7,86,125450,15.09
494,Papillon,1973,151,8,58,121665,53.27
495,The Ten Commandments,1956,220,7.9,,63583,93.74
496,Planet of the Apes,1968,112,8,79,165205,33.4
497,Doctor Zhivago,1965,197,8,69,69918,111.72
498,The Jungle Book,1967,78,7.6,65,166479,141.84
499,The Raid: Redemption,2011,101,7.6,73,190587,4.11
500,Dawn of the Planet of the Apes,2014,130,7.6,79,411690,208.55
501,Spartacus,1960,197,7.9,87,124395,30
502,Coraline,2009,100,7.7,80,197845,75.29
503,Billy Elliot,2000,110,7.7,74,126812,22
504,The Insider,1999,157,7.8,84,159941,28.97
505,Goldfinger,1964,110,7.7,87,174184,51.08
506,October Sky,1999,108,7.8,71,82883,32.48
507,Short Term 12,2013,96,8,82,81804,1.01
508,The Conversation,1974,113,7.8,85,98705,4.42
509,Sunset Blvd.,1950,110,8.4,,201769,
510,The French Connection,1971,104,7.7,94,110128,15.63
511,The Illusionist,2006,110,7.6,68,354826,39.87
512,Blood Simple,1984,99,7.6,82,87799,2.15
513,The Searchers,1956,119,7.9,94,80357,
514,Ghost in the Shell,1995,83,8,76,129299,0.52
515,Before Midnight,2013,109,7.9,94,141534,8.11
516,In the Name of the Father,1993,133,8.1,84,156951,25.01
517,The Lego Movie,2014,100,7.7,83,324059,257.76
518,7 Kogustaki Mucize,2019,132,8.3,,34124,
519,Charade,1963,113,7.9,83,68737,13.47
520,Ben-Hur,1959,212,8.1,90,219593,74.7
521,Lord of War,2005,122,7.6,62,294218,24.15
522,The Last Emperor,1987,163,7.7,76,94389,43.98
523,A Separation,2011,123,8.3,95,220145,7.1
524,The Right Stuff,1983,193,7.8,91,56251,21.5
525,The Name of the Rose,1986,130,7.7,54,102070,7.15
526,The Man from Earth,2007,87,7.9,,174187,
527,Perfect Blue,1997,81,8,,58259,0.78
528,Monty Python's Life of Brian,1979,94,8.1,77,367444,20.05
529,In the Heat of the Night,1967,110,7.9,75,67833,24.38
530,Let the Right One In,2008,114,7.9,82,205650,2.12
531,A Streetcar Named Desire,1951,122,8,97,99235,8
532,Nausicaä of the Valley of the Wind,1984,117,8.1,86,151046,0.5
533,"Blood In, Blood Out",1993,180,8,47,28833,4.5
534,Ordinary People,1980,124,7.7,86,47132,54.8
535,The Best Offer,2013,131,7.8,49,108452,0.09
536,The Ladykillers,1955,91,7.7,91,26480,
537,Hara-Kiri,1962,133,8.6,85,42115,
538,Kiki's Delivery Service,1989,103,7.8,83,124335,
539,The Artist,2011,100,7.9,89,230685,44.67
540,Paddington 2,2017,103,7.8,88,61649,40.44
541,Paths of Glory,1957,88,8.4,90,178242,
542,Ip Man,2008,106,8,59,211493,
543,Annie Hall,1977,93,8,92,251900,39.2
544,Castle in the Sky,1986,125,8,78,150261,
545,Chungking Express,1994,102,8.1,77,63195,0.6
546,On the Waterfront,1954,108,8.1,91,142203,9.6
547,The Maltese Falcon,1941,100,8,96,148976,2.11
548,Escape from Alcatraz,1979,112,7.6,76,121806,43
549,Kung Fu Hustle,2004,99,7.7,78,127301,17.11
550,How to Train Your Dragon 2,2014,102,7.8,76,305757,177
551,Gandhi,1982,191,8,79,217725,52.77
552,Amores Perros,2000,154,8.1,83,223819,5.38
553,Dead Man's Shoes,2004,90,7.6,52,49742,0.01
554,Seven Pounds,2008,123,7.6,36,286868,69.95
555,Solaris,1972,167,8.1,90,81106,
556,A Fistful of Dollars,1964,99,8,65,198329,14.5
557,Rushmore,1998,93,7.7,86,169285,17.11
558,The Verdict,1982,129,7.7,77,36111,54
559,Dirty Harry,1971,102,7.7,90,143338,35.9
560,"Synecdoche, New York",2008,124,7.6,67,83207,3.08
561,Fiddler on the Roof,1971,181,8,67,39512,80.5
562,The Straight Story,1999,112,8,86,82068,6.2
563,Andhadhun,2018,139,8.3,,71989,1.37
564,Sing Street,2016,106,7.9,79,85162,3.24
565,Serpico,1973,130,7.7,87,110009,29.8
566,Soorarai Pottru,2020,153,8.6,,55219,
567,The Nightmare Before Christmas,1993,76,8,82,300330,75.08
568,Persona,1966,83,8.1,86,103326,
569,Naked,1993,132,7.8,84,34658,1.77
570,Glengarry Glen Ross,1992,100,7.7,82,95872,10.73
571,For a Few Dollars More,1965,132,8.3,74,232928,15
572,The Fall,2006,117,7.9,64,107301,2.28
573,Three Colors: Red,1994,99,8.1,100,90818,4.04
574,God's Own Country,2017,104,7.7,85,25224,0.34
575,The Body,2012,112,7.6,,57606,
576,Hotel Rwanda,2004,121,8.1,79,334450,23.53
577,Funny Games,1997,108,7.6,69,65091,
578,Mother,2009,129,7.8,79,52838,0.55
579,The Dirty Dozen,1967,150,7.7,73,67215,45.3
580,The Last King of Scotland,2006,123,7.7,74,175416,17.61
581,The King of Comedy,1982,109,7.8,73,88597,2.5
582,"Planes, Trains & Automobiles",1987,93,7.6,72,124818,49.53
583,Like Stars on Earth,2007,165,8.4,,169047,1.22
584,Miller's Crossing,1990,115,7.7,66,125870,5.08
585,My Fair Lady,1964,170,7.8,95,86556,72
586,8½,1963,138,8,91,108880,0.05
587,Ran,1985,162,8.2,96,112613,4.14
588,Tumbbad,2018,104,8.3,,27851,
589,Network,1976,121,8.1,83,144976,
590,Mississippi Burning,1988,128,7.8,65,88245,34.6
591,Rebel Without a Cause,1955,111,7.7,89,83417,
592,This Is England,2006,101,7.7,86,115619,0.33
593,Hero,2002,120,7.9,85,174036,53.71
594,21 Grams,2003,124,7.6,70,224611,16.29
595,The Wind Rises,2013,126,7.8,83,73762,5.21
596,The Bridge on the River Kwai,1957,161,8.1,87,203564,44.91
597,The Remains of the Day,1993,134,7.8,84,66112,22.95
598,Star Trek II: The Wrath of Khan,1982,113,7.7,67,112738,78.91
599,The Hustler,1961,134,8,90,75080,8.28
600,Sling Blade,1996,135,8,84,86864,24.48
601,Ray,2004,152,7.7,73,138420,75.33
602,The Mirror,1975,107,8.1,80,40152,0.18
603,Barton Fink,1991,116,7.7,69,113277,6.15
604,I Am Sam,2001,132,7.7,28,142914,40.31
605,Ed Wood,1994,127,7.8,70,164977,5.89
606,Pride,2014,119,7.8,79,51862,
607,Me and Earl and the Dying Girl,2015,105,7.7,74,123263,6.74
608,M,1931,99,8.3,,143533,0.03
609,Cinderella Man,2005,144,8,69,176203,61.65
610,Evil Dead II,1987,84,7.8,72,148406,5.92
611,Clerks,1994,92,7.7,70,211486,3.15
612,Three Colors: Blue,1993,94,7.9,85,89923,1.32
613,Dawn of the Dead,1978,127,7.9,71,111537,5.1
614,50/50,2011,100,7.6,72,315469,35.01
615,The Outlaw Josey Wales,1976,135,7.8,69,65697,31.8
616,The Iron Giant,1999,86,8,85,172163,23.16
617,The Third Man,1949,93,8.1,97,158830,0.45
618,Finding Neverland,2004,106,7.6,67,198720,51.68
619,The Celebration,1998,105,8,82,78377,1.65
620,My Left Foot,1989,103,7.9,97,68125,14.74
621,Rio Bravo,1959,141,8,93,56334,12.54
622,Kubo and the Two Strings,2016,101,7.8,84,118090,48.02
623,Badlands,1973,94,7.8,93,66040,
624,Flipped,2010,90,7.7,45,81478,1.75
625,The Great Beauty,2013,141,7.8,86,81160,2.85
626,The Man Who Shot Liberty Valance,1962,123,8.1,94,68873,
627,The Raid 2,2014,150,8,71,114355,2.63
628,Night of the Living Dead,1968,96,7.9,89,116600,0.09
629,Midnight Express,1978,121,7.6,59,73695,35
630,Dancer in the Dark,2000,140,8,61,102323,4.18
631,Witness for the Prosecution,1957,116,8.4,,108975,8.18
632,From Here to Eternity,1953,118,7.6,85,43404,30.5
633,La Dolce Vita,1960,174,8,95,66649,19.52
634,High Noon,1952,85,7.9,89,97257,9.45
635,The Hurricane,1999,146,7.6,74,91596,50.67
636,Dial M for Murder,1954,105,8.2,75,158477,0.01
637,My Name Is Khan,2010,165,8,50,98609,4.02
638,Mommy,2014,139,8.1,74,50738,3.49
639,The Wild Bunch,1969,135,7.9,97,77425,12.06
640,Nosferatu,1922,94,7.9,,88832,
641,Detachment,2011,98,7.7,52,77108,0.07
642,Beasts of No Nation,2015,137,7.7,79,73998,0.08
643,Mary and Max,2009,92,8.1,,164532,
644,All About Eve,1950,138,8.2,98,120611,0.01
645,Cabaret,1972,124,7.8,80,48357,42.77
646,Roman Holiday,1953,118,8,78,127300,
647,Whisper of the Heart,1995,111,7.9,75,52010,
648,Rashomon,1950,88,8.2,98,152696,0.1
649,The Long Goodbye,1973,112,7.6,87,26354,0.96
650,Modern Times,1936,87,8.5,96,218038,0.16
651,Double Indemnity,1944,107,8.3,95,143626,5.72
652,Being There,1979,130,8,83,65649,30.18
653,The Secret World of Arrietty,2010,94,7.6,80,81015,19.2
654,A Christmas Story,1983,93,7.9,77,132979,20.61
655,Days of Heaven,1978,94,7.8,93,52885,
656,Patton,1970,172,7.9,91,93753,61.7
657,The Great Dictator,1940,125,8.4,,203287,0.29
658,The Killing,1956,84,8,91,81740,
659,Winter Sleep,2014,196,8.1,88,46578,0.17
660,Breaking the Waves,1996,159,7.8,76,62456,4.04
661,The Muppet Movie,1979,95,7.6,74,32814,76.66
662,Kelly's Heroes,1970,144,7.6,50,45347,1.38
663,Victoria,2015,138,7.6,77,52947,
664,The Killing Fields,1984,141,7.8,76,51599,34.7
665,All That Jazz,1979,123,7.9,72,28240,37.82
666,Philomena,2013,98,7.6,77,94241,37.71
667,A Little Princess,1995,97,7.7,83,32253,10.02
668,What Ever Happened to Baby Jane?,1962,134,8.1,75,50079,4.05
669,Wings of Desire,1987,128,8,79,64766,3.33
670,The Bridges of Madison County,1995,135,7.6,69,73214,71.52
671,Paprika,2006,90,7.7,81,71424,0.88
672,Song of the Sea,2014,93,8.1,85,51724,0.86
673,Once,2007,86,7.8,88,110682,9.44
674,Gangs of Wasseypur,2012,321,8.2,89,82435,
675,Fantasia,1940,125,7.7,96,88700,76.41
676,Yojimbo,1961,110,8.2,,111352,
677,PK,2014,153,8.1,,163198,10.62
678,Sabrina,1954,113,7.7,72,59434,
679,The Double Life of Véronique,1991,98,7.8,86,42420,2
680,Fallen Angels,1995,99,7.7,71,26471,
681,Breathless,1960,90,7.8,,73295,0.34
682,Lucky Number Slevin,2006,110,7.7,53,299572,22.49
683,The Taking of Pelham One Two Three,1974,104,7.7,68,26748,
684,Rope,1948,80,8,73,129852,
685,K.G.F: Chapter 1,2018,156,8.2,,36772,
686,Time of the Gypsies,1988,142,8.2,,26463,0.28
687,Harold and Maude,1971,91,7.9,62,70858,
688,Neon Genesis Evangelion: The End of Evangelion,1997,87,8.1,,38920,
689,Guess Who's Coming to Dinner,1967,108,7.8,63,39665,56.7
690,Amour,2012,127,7.9,94,93136,6.74
691,Baahubali: The Beginning,2015,159,8,,103020,6.74
692,Where Eagles Dare,1968,158,7.7,63,51926,
693,Belle de Jour,1967,100,7.7,,40299,0.03
694,Blow-Up,1966,111,7.6,82,56541,
695,The Day of the Jackal,1973,143,7.8,80,37461,16.06
696,The Kid,1921,68,8.3,,113408,5.45
697,A Prophet,2009,155,7.9,90,93584,2.08
698,La Vie En Rose,2007,140,7.6,66,82805,10.3
699,Bicycle Thieves,1948,89,8.3,,146552,0.33
700,Dead Man,1995,121,7.6,62,90482,1.04
701,The Day the Earth Stood Still,1951,92,7.7,,76326,
702,The Man from Nowhere,2010,119,7.8,,62887,0.01
703,Run Lola Run,1998,80,7.6,77,188373,7.27
704,Hamlet,1996,242,7.7,,36006,4.41
705,Drishyam,2015,163,8.2,,70466,0.74
706,Wild Strawberries,1957,91,8.2,88,96476,
707,Anatomy of a Murder,1959,161,8,95,59866,11.9
708,The Quiet Man,1952,129,7.7,,34693,10.55
709,The Thin Man,1934,91,8,86,26664,
710,Manhattan,1979,96,7.9,83,131467,45.7
711,Tangerines,2013,87,8.2,73,40437,0.14
712,25th Hour,2002,135,7.6,68,169750,13.06
713,Bringing Up Baby,1938,102,7.8,91,55193,
714,Giant,1956,201,7.6,84,34106,
715,It Happened One Night,1934,105,8.1,87,94097,4.36
716,Judgment at Nuremberg,1961,179,8.2,60,69512,
717,A Man Called Ove,2015,116,7.7,70,47471,3.36
718,High and Low,1963,143,8.4,,34445,
719,Letters from Iwo Jima,2006,141,7.9,89,154045,13.76
720,The Manchurian Candidate,1962,126,7.9,94,71144,
721,Short Cuts,1993,188,7.7,79,42281,6.11
722,Fanny and Alexander,1982,188,8.1,100,57804,4.97
723,The Diving Bell and the Butterfly,2007,112,8,92,103331,5.99
724,Porco Rosso,1992,94,7.7,83,77874,
725,Nebraska,2013,115,7.7,87,112336,17.65
726,Notorious,1946,102,7.9,100,92345,10.46
727,The Big Sleep,1946,114,7.9,,78817,6.54
728,The Man Who Would Be King,1975,129,7.8,91,44937,
729,Withnail & I,1987,107,7.7,84,40409,1.54
730,Pink Floyd: The Wall,1982,95,8.1,47,76096,22.24
731,His Girl Friday,1940,92,7.9,,53689,0.3
732,The Tenant,1976,126,7.7,71,39908,1.92
733,The African Queen,1951,105,7.7,91,71504,0.54
734,Perfect Strangers,2016,96,7.8,,57211,
735,City Lights,1931,87,8.5,99,167958,0.02
736,Paper Moon,1973,102,8.1,77,42303,30.93
737,Who's Afraid of Virginia Woolf?,1966,131,8,75,68949,
738,Once Were Warriors,1994,102,7.9,77,31604,2.2
739,"Spring, Summer, Fall, Winter... and Spring",2003,103,8,85,77548,2.38
740,Black Book,2006,145,7.7,71,72668,4.4
741,The Longest Day,1962,178,7.8,75,52154,39.1
742,Strangers on a Train,1951,101,7.9,88,123386,7.63
743,Happiness,1998,134,7.7,81,66424,2.81
744,Ikiru,1952,143,8.3,,68552,0.06
745,The Chaser,2008,125,7.8,64,58511,
746,Touch of Evil,1958,95,8,99,98464,2.24
747,Zulu,1964,138,7.7,77,36010,
748,Watership Down,1978,91,7.6,64,33671,
749,A Hard Day's Night,1964,87,7.6,96,40366,13.78
750,Mr. Smith Goes to Washington,1939,129,8.1,73,107068,9.6
751,Frost/Nixon,2008,122,7.7,80,103357,18.59
752,Hannah and Her Sisters,1986,107,7.9,90,67200,40.08
753,"I, Daniel Blake",2016,100,7.9,78,53861,0.26
754,The Adventures of Robin Hood,1938,102,7.9,97,47188,3.98
755,Andrei Rublev,1966,205,8.1,,47006,0.1
756,Repulsion,1965,105,7.7,91,48910,
757,Fantastic Planet,1973,72,7.8,73,25259,0.19
758,The 400 Blows,1959,99,8.1,,105379,
759,Children of Heaven,1997,89,8.3,77,65415,0.93
760,"Aguirre, the Wrath of God",1972,95,7.9,,52429,
761,East of Eden,1955,118,7.9,72,40347,
762,Loving Vincent,2017,94,7.8,62,50809,6.74
763,Delicatessen,1991,99,7.6,66,80514,1.79
764,The Conformist,1970,113,8,100,27090,0.54
765,Fitzcarraldo,1982,158,8.1,,31619,
766,Le Samouraï,1967,101,8.1,,45469,0.04
767,Stagecoach,1939,96,7.8,93,43655,
768,The Tale of The Princess Kaguya,2013,137,8,89,38786,1.51
769,A Man for All Seasons,1966,120,7.7,72,31248,28.35
770,The Grapes of Wrath,1940,129,8,96,85570,0.06
771,Infernal Affairs,2002,101,8,75,117893,0.17
772,When Marnie Was There,2014,103,7.7,72,32842,0.77
773,Three Colors: White,1994,92,7.6,88,64448,1.46
774,Waking Life,2001,99,7.8,83,60705,2.89
775,The White Ribbon,2009,144,7.8,82,68735,2.22
776,Dil Bechara,2020,101,7.9,,111564,
777,The Wave,2008,107,7.6,,102770,
778,The Treasure of the Sierra Madre,1948,126,8.2,98,114381,5.01
779,The Secret of Kells,2009,75,7.6,81,31802,0.69
780,Frankenstein,1931,70,7.8,91,65367,
781,On Golden Pond,1981,109,7.6,68,27660,119.29
782,The Lady Vanishes,1938,96,7.8,98,47426,
783,Talk to Her,2002,112,7.9,86,104731,9.28
784,Death Note,2006,126,7.7,,28632,
785,The Legend of 1900,1998,169,8.1,58,59047,0.26
786,All About My Mother,1999,101,7.8,87,89101,8.26
787,The Motorcycle Diaries,2004,126,7.8,75,96722,16.76
788,Vikram Vedha,2017,147,8.4,,28458,
789,Adam's Apples,2005,94,7.8,51,45743,0
790,Freaks,1932,64,7.9,80,42127,
791,Mysterious Skin,2004,105,7.6,73,65956,0.7
792,Open Your Eyes,1997,119,7.7,,64105,0.37
793,The Lion in Winter,1968,134,7.9,,29009,22.28
794,Ninja Scroll,1993,94,7.9,,34548,
795,Leviathan,2014,140,7.6,92,49406,1.09
796,Eyes Without a Face,1960,90,7.7,90,27641,0.05
797,Cat on a Hot Tin Roof,1958,108,8,84,45084,17.57
798,The Best Years of Our Lives,1946,170,8,93,57287,23.65
799,3-Iron,2004,88,8,72,50629,0.24
800,The Vanishing,1988,107,7.7,,33996,
801,Gilda,1946,110,7.7,,28002,
802,Good Bye Lenin!,2003,121,7.7,68,138017,4.06
803,Hedwig and the Angry Inch,2001,95,7.7,85,31966,3.03
804,Lupin the 3rd: Castle of Cagliostro,1979,102,7.7,71,27033,
805,Sympathy for Mr. Vengeance,2002,129,7.6,56,62688,0.05
806,A Very Long Engagement,2004,133,7.6,76,70940,6.17
807,Autumn Sonata,1978,99,8.2,,26941,
808,Night on Earth,1991,129,7.8,68,55393,2.02
809,Secrets & Lies,1996,136,8,91,37587,13.42
810,The Little Prince,2015,108,7.7,70,56746,1.34
811,The Cabinet of Dr. Caligari,1920,67,8.1,,57452,
812,Rang De Basanti,2006,167,8.2,,111997,2.2
813,"South Park: Bigger, Longer & Uncut",1999,81,7.7,73,192153,52.04
814,Once Upon a Time in Anatolia,2011,157,7.9,82,42025,0.14
815,The Message,1976,177,8.2,,43892,
816,Tokyo Story,1953,136,8.2,,53217,
817,Control,2007,122,7.7,78,61629,0.87
818,Lagaan: Once Upon a Time in India,2001,224,8.1,84,105114,0.07
819,Lilya 4-Ever,2002,109,7.8,82,42687,0.18
820,Loveless,2017,127,7.6,86,29784,0.57
821,Batman: Mask of the Phantasm,1993,76,7.8,,43712,5.62
822,All Quiet on the Western Front,1930,152,8,91,57332,3.27
823,Land of Mine,2015,100,7.8,75,35564,0.44
824,Shine,1996,105,7.7,87,51366,35.81
825,After the Wedding,2006,120,7.7,78,32015,0.41
826,The Invisible Man,1933,71,7.7,87,30701,
827,Arsenic and Old Lace,1942,118,8,,65121,
828,In a Lonely Place,1950,94,8,,26804,
829,The Salesman,2016,124,7.8,85,51318,2.4
830,Shadow of a Doubt,1943,108,7.8,94,59584,
831,The 39 Steps,1935,86,7.6,93,51883,
832,Down by Law,1986,107,7.8,75,47852,1.44
833,Elite Squad,2007,115,8,33,98121,0.01
834,Rififi,1955,118,8.2,97,28871,0.06
835,The Wages of Fear,1953,131,8.1,85,54624,
836,Laura,1944,88,8,,42746,4.36
837,The Battle of Algiers,1966,121,8.1,96,53136,0.06
838,Throne of Blood,1957,110,8.1,,46725,
839,The Gold Rush,1925,95,8.2,,101149,5.45
840,The Bandit,1996,128,8.2,,64160,
841,The Station Agent,2003,89,7.6,81,67386,5.74
842,Ivan's Childhood,1962,84,8.1,,31773,
843,Scarface,1932,93,7.8,87,25325,
844,Invasion of the Body Snatchers,1956,80,7.7,92,44861,
845,Cowboy Bebop: The Movie,2001,115,7.9,61,42919,1
846,Kagemusha,1980,162,8,84,32216,
847,Ayla: The Daughter of War,2017,125,8.4,,34147,
848,Evil,2003,113,7.8,61,35693,0.02
849,Head-On,2004,121,7.9,78,51335,
850,My Sassy Girl,2001,137,8,,45414,
851,The Broken Circle Breakdown,2012,111,7.7,70,39387,0.18
852,Stalag 17,1953,120,8,84,51056,
853,Zindagi Na Milegi Dobara,2011,155,8.1,,67964,3.11
854,The Hidden Fortress,1958,126,8.1,,34843,
855,Crimes and Misdemeanors,1989,104,7.9,77,54690,18.25
856,The World's Fastest Indian,2005,127,7.8,68,51989,5.13
857,The Sea Inside,2004,126,8,74,77579,2.09
858,The Red Shoes,1948,135,8.1,,30957,10.9
859,Wolf Children,2012,117,8.1,71,38839,
860,Cape Fear,1962,106,7.7,76,26465,
861,Duck You Sucker,1971,138,7.6,77,30162,0.7
862,The Bride of Frankenstein,1935,75,7.8,95,43563,4.36
863,Gully Boy,2019,154,8,65,31908,5.57
864,Darbareye Elly,2009,119,8,87,45865,0.11
865,The Experiment,2001,120,7.7,60,90860,0.14
866,Cries & Whispers,1972,91,8.1,,30229,1.74
867,Amarcord,1973,123,7.9,,39913,
868,Persepolis,2007,96,8,90,88687,4.45
869,To Be or Not to Be,1942,99,8.2,86,29958,
870,Battleship Potemkin,1925,66,8,97,53102,0.05
871,The Return,2003,110,8,82,42414,0.5
872,The Discreet Charm of the Bourgeoisie,1972,102,7.9,93,38756,0.2
873,The General,1926,67,8.1,,81218,1.03
874,Pink,2016,136,8.1,,39233,1.24
875,Only Yesterday,1991,118,7.6,90,27099,0.45
876,To Have and Have Not,1944,100,7.8,,31059,
877,Joint Security Area,2000,110,7.8,58,26527,
878,Peeping Tom,1960,101,7.7,,31366,0.08
879,Fearless,2006,104,7.6,70,72878,24.63
880,The Odd Couple,1968,105,7.7,86,31582,44.53
881,No Man's Land,2001,98,7.9,84,44653,1.06
882,Wait Until Dark,1967,108,7.8,81,27746,17.55
883,Mustang,2015,97,7.6,83,35798,0.85
884,The Virgin Spring,1960,89,8.1,,26715,1.53
885,My Father and My Son,2005,112,8.3,,78995,
886,Au Revoir les Enfants,1987,104,8,88,31173,4.54
887,Bajrangi Bhaijaan,2015,163,8,,72293,8.18
888,Jules and Jim,1962,105,7.8,97,37633,
889,Hard Boiled,1992,128,7.8,,46718,
890,"Black Cat, White Cat",1998,127,8.1,73,50878,0.35
891,Confessions,2010,106,7.8,,35727,
892,The Lunchbox,2013,104,7.8,76,50547,4.23
893,"4 Months, 3 Weeks and 2 Days",2007,113,7.9,97,56640,1.19
894,Uri: The Surgical Strike,2018,138,8.2,,43473,4.19
895,Swades,2004,189,8.2,,83031,1.22
896,The Chorus,2004,97,7.9,56,57458,3.64
897,Sleuth,1972,138,8,,44763,4.08
898,The Passion of Joan of Arc,1928,114,8.1,,47742,0.02
899,The Girl Who Leapt Through Time,2006,98,7.7,,60397,
900,Kal ho naa ho,2003,186,8,54,63500,1.79
901,Miracle on 34th Street,1947,96,7.9,88,41643,2.65
902,Love Me If You Dare,2003,93,7.6,45,67379,0.55
903,The Innocents,1961,100,7.8,88,27016,2.62
904,Vivre Sa Vie,1962,85,8,,28081,
905,Sweet Smell of Success,1957,96,8,100,28160,
906,L'Avventura,1960,144,7.9,,26568,
907,Diabolique,1955,117,8,,61520,
908,Key Largo,1948,100,7.8,,37004,
909,Sunrise,1927,94,8.1,,46876,0.54
910,Il Postino,1994,108,7.7,81,33613,21.85
911,Tokyo Godfathers,2003,92,7.8,73,31690,0.13
912,Nights of Cabiria,1957,110,8.1,,42960,0.75
913,Underground,1995,167,8.1,,55248,0.17
914,The Magdalene Sisters,2002,114,7.7,83,25946,4.89
915,Barfi!,2012,151,8.1,,75751,2.8
916,Talvar,2015,132,8.2,,31155,0.34
917,La Strada,1954,108,8,,58339,
918,Interstate 60: Episodes of the Road,2002,116,7.7,,30008,
919,Brief Encounter,1945,86,8,92,35621,
920,Chhichhore,2019,143,8.2,,33945,0.9
921,Queen,2013,146,8.2,,60723,1.43
922,Sanjuro,1962,96,8.1,,33103,
923,Rockstar,2011,159,7.7,,39520,0.99
924,The Past,2013,130,7.8,85,45017,1.33
925,Ace in the Hole,1951,111,8.1,72,31594,3.97
926,The Visitor,2007,104,7.6,79,41551,9.42
927,Kind Hearts and Coronets,1949,106,8,,34493,
928,Nine Queens,2000,114,7.9,80,49741,1.22
929,In America,2002,105,7.7,76,40409,15.54
930,Celda 211,2009,113,7.6,,63904,
931,The Lost Weekend,1945,101,7.9,,33558,9.46
932,Raise the Red Lantern,1991,125,8.1,,29675,2.6
933,In a Better World,2010,118,7.6,65,38493,1.01
934,Fireworks,1997,103,7.8,,27724,0.23
935,Inherit the Wind,1960,128,8.1,75,27268,
936,Lifeboat,1944,97,7.6,78,26479,
937,Hiroshima Mon Amour,1959,90,7.9,,28437,0.09
938,A Night at the Opera,1935,96,7.9,,30584,2.54
939,Farewell My Concubine,1993,171,8.1,,25095,5.22
940,The Shop Around the Corner,1940,99,8.1,96,28462,0.2
941,M.S. Dhoni: The Untold Story,2016,184,7.8,,40455,1.78
942,Love and Death,1975,85,7.7,89,36047,
943,Dil Chahta Hai,2001,183,8.1,,66830,0.3
944,The Purple Rose of Cairo,1985,82,7.7,75,47124,10.63
945,Harvey,1950,104,7.9,,52590,
946,Anand,1971,122,8.4,,30309,
947,Badhaai Ho,2018,124,8,,27996,
948,Duck Soup,1933,69,7.8,93,55592,
949,Departures,2008,130,8.1,68,48597,1.5
950,Sherlock Jr.,1924,45,8.2,,42044,0.98
951,Baahubali 2: The Conclusion,2017,167,8.2,,75399,20.19
952,Baby,2015,159,8,,52863,
953,Joyeux Noel,2005,116,7.7,70,28010,1.05
954,The Exterminating Angel,1962,95,8.1,,29693,
955,The Triplets of Belleville,2003,78,7.8,91,50629,7
956,White Heat,1949,114,8.1,,29823,
957,Kahaani,2012,122,8.1,,57825,1.04
958,Dilwale Dulhania Le Jayenge,1995,181,8.1,,63540,
959,The Killer,1989,111,7.8,82,45638,
960,G.O.R.A.,2004,127,8,,56997,
961,Vampire Hunter D: Bloodlust,2000,103,7.7,62,29219,0.15
962,Haider,2014,160,8.1,,50453,0.9
963,Elite Squad 2: The Enemy Within,2010,115,8,71,79223,0.1
964,Veer-Zaara,2004,192,7.8,67,49102,2.92
965,The Muppet Christmas Carol,1992,85,7.7,64,50315,27.28
966,Knockin' on Heaven's Door,1997,87,8,,27734,0
967,Central Station,1998,115,8,80,36433,5.6
968,The Rules of the Game,1939,110,8,,26742,
969,La Grande Illusion,1937,113,8.1,,33842,0.17
970,The Circus,1928,72,8.1,90,30241,
971,C.R.A.Z.Y.,2005,129,7.9,81,31479,
972,Raazi,2018,138,7.8,,25358,
973,Zelig,1983,79,7.7,,39901,11.8
974,Black,2005,122,8.2,,33365,0.73
975,Hera Pheri,2000,156,8.2,,57087,
976,Jab We Met,2007,138,7.9,,47734,0.41
977,A Wednesday,2008,104,8.1,,73905,
978,Sholay,1975,162,8.2,,51305,
979,Udaan,2010,134,8.2,,42348,0.01
980,Le Dîner de Cons,1998,80,7.7,73,37431,4.07
981,Kai Po Che,2013,120,7.7,40,32647,1.12
982,Special 26,2013,144,8,,51098,1.08
983,Chak De! India,2007,153,8.2,68,74196,1.11
984,Airlift,2016,130,8,,52904,
985,Udta Punjab,2016,148,7.8,,27188,
986,Paan Singh Tomar,2012,135,8.2,,33245,0.04
987,The Edge of Heaven,2007,122,7.8,85,30831,0.74
988,Dev.D,2009,144,8,,28760,0.01
989,Tae Guk Gi: The Brotherhood of War,2004,140,8.1,64,37830,1.11
990,Munna Bhai M.B.B.S.,2003,156,8.1,,74041,
991,Bhaag Milkha Bhaag,2013,186,8.2,,61176,1.63
992,Andaz Apna Apna,1994,160,8.2,,49319,
993,English Vinglish,2012,134,7.8,,33651,1.67
994,OMG: Oh My God!,2012,125,8.1,,51772,0.92
995,Drishyam,2013,160,8.3,,30736,
996,Lage Raho Munna Bhai,2006,144,8,,43167,2.22
997,Vicky Donor,2012,126,7.8,,39716,0.17
998,The Breath,2009,128,8,,31847,
999,Vizontele,2001,110,8,,33613,
